Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Kosovo,XKX,Net migration,SM.POP.NETM,-28829,2815,-38584,-28588,-28754,-22178
Kuwait,KWT,Net migration,SM.POP.NETM,181,-168379,19678,368560,50008,61624
Kyrgyz Republic,KGZ,Net migration,SM.POP.NETM,47303,54704,46208,12596,5601,3645
Lao PDR,LAO,Net migration,SM.POP.NETM,-10305,-10305,-10305,-10003,-10003,-10284
Latvia,LVA,Net migration,SM.POP.NETM,-3416,-3147,-280,22027,7966,-2225
Lebanon,LBN,Net migration,SM.POP.NETM,-266992,-47787,-27290,-27507,-34193,-17267
Lesotho,LSO,Net migration,SM.POP.NETM,-6896,-3449,-3449,-6023,-5168,-5107
Liberia,LBR,Net migration,SM.POP.NETM,-19678,-10107,-11852,-5003,-5002,-7779
Libya,LBY,Net migration,SM.POP.NETM,-1352,-694,-694,-2001,-2001,3448
Liechtenstein,LIE,Net migration,SM.POP.NETM,271,269,187,212,214,206
Lithuania,LTU,Net migration,SM.POP.NETM,10665,19884,19657,72100,44935,2617
Luxembourg,LUX,Net migration,SM.POP.NETM,10503,6967,8724,13194,5905,5677
"Macao SAR, China",MAC,Net migration,SM.POP.NETM,8967,8842,8572,8748,8807,1620
Madagascar,MDG,Net migration,SM.POP.NETM,-2976,-1480,-1480,-1487,-1487,-1795
Malawi,MWI,Net migration,SM.POP.NETM,-1837,-2655,-2666,-5231,-5811,-1507
Malaysia,MYS,Net migration,SM.POP.NETM,203284,101907,188506,188154,181071,174770
Maldives,MDV,Net migration,SM.POP.NETM,9648,9642,9412,-2674,-2877,-2421
Mali,MLI,Net migration,SM.POP.NETM,-44373,-14962,-22210,-39951,-39953,-46880
Malta,MLT,Net migration,SM.POP.NETM,20302,6904,4638,2480,6591,6323
Marshall Islands,MHL,Net migration,SM.POP.NETM,-2030,-2004,-2016,-1829,-1832,-1765
Mauritania,MRT,Net migration,SM.POP.NETM,-3019,-1483,-1483,2999,2999,-2185
Mauritius,MUS,Net migration,SM.POP.NETM,-5202,-5895,-4324,-2824,-2824,-2787
Mexico,MEX,Net migration,SM.POP.NETM,-169628,-147456,-122791,-108438,-101044,-104581
"Micronesia, Fed. Sts.",FSM,Net migration,SM.POP.NETM,-1360,-680,-1190,-1159,-1134,-1104
Moldova,MDA,Net migration,SM.POP.NETM,-41233,-33405,-33405,89154,-18570,-27088
Monaco,MCO,Net migration,SM.POP.NETM,-198,999,999,995,88,110
Mongolia,MNG,Net migration,SM.POP.NETM,8660,0,0,0,0,83
Montenegro,MNE,Net migration,SM.POP.NETM,-4083,-3310,-2344,26332,12000,-1686
