Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Russian Federation,RUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.52680431743222,5.96554013311996,-1.73318663190568,3.89361804941169,..
Rwanda,RWA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.51636902603423,8.45555510884712,5.81433388969708,5.88757291883972,..
Samoa,WSM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.09773045959912,-7.87643194778342,-5.95822542049191,7.88145673103034,..
San Marino,SMR,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.93518932061002,15.6202890686695,9.48711055571971,..,..
Sao Tome and Principe,STP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,0.716646434339125,-0.17852659147141,-1.75407310474412,-1.6128371937285,..
Saudi Arabia,SAU,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-8.13075233111495,7.69692769433404,2.83967898892131,-4.00418422046917,..
Senegal,SEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-1.29147593329481,3.8734325976821,1.29516488848884,2.1168073839353,..
Serbia,SRB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-0.288042264925664,8.97258082321535,5.24705329134949,4.49449684698806,..
Seychelles,SYC,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-12.4901374474458,-0.254097866449726,-4.8001108665391,3.25215193272193,..
Sierra Leone,SLE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.50677788869559,3.51527957069044,2.99519003006155,3.41471641633679,..
Singapore,SGP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-3.56949598146913,14.3619661171204,0.458682804705319,-3.71813638952344,..
Sint Maarten (Dutch part),SXM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-14.6336937315718,3.16129245692684,8.31998495940604,2.31884254602448,..
Slovak Republic,SVK,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.66902860343937,5.95174767575104,0.736223720636815,1.47196774387082,..
Slovenia,SVN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-4.72524690259519,8.09863398767787,2.50488429850861,1.70880508049775,..
Solomon Islands,SLB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-5.50313424418144,0.130939472508416,-0.0197029176376589,0.639500366039741,..
Somalia,SOM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-6.37473582032182,-0.257094286284627,-0.333977531184487,1.05606220761301,..
South Africa,ZAF,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-7.67873309598839,3.35053090110557,0.480619707090057,-0.630050658120766,..
South Sudan,SSD,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,..,..,..,..,..
Spain,ESP,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-11.3740694030146,6.57033396471437,5.41600552197859,1.42527469236005,..
