Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Canada,CAN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.9,9.5,9.7,9,8.8,..
Cayman Islands,CYM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.435,12.716,12.581,12.192,11.838,..
Central African Republic,CAF,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,44.108,44.475,45.226,45.425,46.358,..
Chad,TCD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,44.316,43.75,43.284,43.35,42.396,..
Channel Islands,CHI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.3,8.2,8.2,8.2,8.2,..
Chile,CHL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.94,10.097,9.07,9.672,8.963,..
China,CHN,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.41,8.52,7.52,6.77,6.39,..
Colombia,COL,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14.218,14.106,13.947,13.731,13.475,..
Comoros,COM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,30.447,29.985,29.498,29.062,28.653,..
"Congo, Dem. Rep.",COD,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,42.549,42.19,41.937,41.623,41.305,..
"Congo, Rep.",COG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,32.183,31.741,31.377,30.941,30.627,..
Costa Rica,CRI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,12.661,11.366,10.543,10.319,10.179,..
Cote d'Ivoire,CIV,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,34.306,33.651,33.081,32.5,31.99,..
Croatia,HRV,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,8.9,8.9,9.4,8.8,8.3,..
Cuba,CUB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.668,9.257,8.814,8.662,8.706,..
Curacao,CUW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.1,8.7,8.6,8.2,7.5,..
Cyprus,CYP,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.014,11.142,11.236,11.048,10.799,..
Czechia,CZE,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.5,10.3,10.6,9.5,8.4,..
Denmark,DNK,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.5,10.4,10.8,9.9,9.7,..
Djibouti,DJI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,21.913,21.578,21.308,21.032,20.769,..
Dominica,DMA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.512,11.404,11.251,11.146,11.09,..
Dominican Republic,DOM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,19.43,18.957,18.571,18.255,17.931,..
Ecuador,ECU,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.924,16.391,15.882,15.423,15.033,..
"Egypt, Arab Rep.",EGY,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,22.267,22.004,21.154,21.091,21.004,..
El Salvador,SLV,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,16.57,16.303,16.15,15.92,15.758,..
Equatorial Guinea,GNQ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,31.783,31.351,30.703,30.123,29.604,..
Eritrea,ERI,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,29.119,28.872,28.818,28.675,28.544,..
Estonia,EST,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.6,9.9,10,8.6,8,..
Eswatini,SWZ,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,25.889,25.39,24.957,24.611,24.073,..
Ethiopia,ETH,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,33.549,33.31,32.876,32.413,31.903,..
